Date,region,preciptation (mm),temp_max (celcius),temp_min (celcius),soil_moisture (mm)
1/1/1960,lhr,20,18.1,4.1,19.4
1/2/1960,lhr,0,25,9.9,16.7
1/3/1960,lhr,31,25.6,12.3,14.6
1/4/1960,lhr,11,31.9,17,13.1
1/5/1960,lhr,3,39,23.4,11.8
1/6/1960,lhr,22,41.2,27,10.8
1/7/1960,lhr,150,35.8,27,14.6
1/8/1960,lhr,95,35,27.2,13
1/9/1960,lhr,34,35.1,24.4,11.8
1/10/1960,lhr,0,32.5,17.4,10.7
1/11/1960,lhr,0,26.3,9,9.9
1/12/1960,lhr,15,20.5,5,9.1
1/1/1961,lhr,70,19.3,5.6,30.8
1/2/1961,lhr,21,19.5,6.2,24.2
1/3/1961,lhr,9,27.3,13.7,20
1/4/1961,lhr,23,32.6,17.2,17.1
1/5/1961,lhr,11,38.6,23.4,15
1/6/1961,lhr,20,40.3,27,13.3
1/7/1961,lhr,175,35.6,27,45.1
1/8/1961,lhr,118,34.4,26.3,43.2
1/9/1961,lhr,78,34.8,25.1,30.8
1/10/1961,lhr,23,31.8,17.3,24.2
1/11/1961,lhr,2,23.8,9.1,20
1/12/1961,lhr,7,19.1,4.2,17.1
1/1/1962,lhr,31,18.3,4.3,15.7
1/2/1962,lhr,28,22.6,8.8,13.9
1/3/1962,lhr,25,26.7,13.2,12.4
1/4/1962,lhr,3,34.2,19.1,11.3
1/5/1962,lhr,8,38.2,23.2,10.3
1/6/1962,lhr,13,40.5,26.6,9.5
1/7/1962,lhr,127,36.2,27.5,8.9
1/8/1962,lhr,107,35.1,26.4,8.3
1/9/1962,lhr,183,32.5,23,62.6
1/10/1962,lhr,2,31.8,17,38.4
1/11/1962,lhr,16,25.3,9.8,28.4
1/12/1962,lhr,12,19.7,5.1,22.8
1/1/1963,lhr,0,19,3.7,19.1
1/2/1963,lhr,10,24.1,9.1,16.4
1/3/1963,lhr,25,26.8,13.1,14.4
1/4/1963,lhr,17,32.5,18,12.9
1/5/1963,lhr,23,36.5,21.4,11.7
1/6/1963,lhr,12,40.6,27.4,10.7
1/7/1963,lhr,82,37.3,27.9,9.8
