date,aqi_pm2.5,temp_max_c,temp_avg_c,temp_min_c,dew_point_max_c,dew_point_avg_c,dew_point_min_c,humidity_max_percent,humidity_avg_percent,humidity_min_percent,wind_speed_max_mph,wind_speed_avg_mph,wind_speed_min_mph,pressure_max_in,pressure_avg_in,pressure_min_in,month,precip_mm,temp_range,season_Autumn,season_Spring,season_Summer,season_Winter,rain_heavy,rain_light,rain_moderate,rain_none
01/06/2019,222,46.11111111,38.33333333,31.11111111,17.77777778,13.44444444,3.888888889,40,24.6,10,18,4.2,0,28.8,28.8,28.7,6,0,17.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
02/06/2019,170,46.11111111,37.94444444,30,17.77777778,16.16666667,13.88888889,45,28.6,16,9,5.9,0,28.9,28.8,28.7,6,0,16.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
04/06/2019,153,41.11111111,33.38888889,27.22222222,22.22222222,17.94444444,13.88888889,52,40.1,29,20,9.8,0,28.8,28.8,28.7,6,0.3,12.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
05/06/2019,157,43.88888889,34.88888889,27.77777778,20,15.83333333,11.11111111,55,34.1,15,15,8.3,0,28.8,28.8,28.8,6,0,14.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
06/06/2019,129,42.22222222,35,27.77777778,15,11.66666667,8.888888889,42,26,15,16,10.1,5,28.9,28.8,28.8,6,0,14.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
07/06/2019,149,42.77777778,35.66666667,26.11111111,17.22222222,13.38888889,12.22222222,45,28,16,9,5.9,3,28.9,28.9,28.9,6,0,16.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
08/06/2019,156,42.77777778,36.05555556,27.77777778,17.22222222,15.16666667,12.22222222,48,30.2,17,12,6.3,3,28.9,28.9,28.8,6,0,14.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
09/06/2019,160,43.88888889,36.83333333,28.88888889,17.77777778,15.27777778,12.77777778,40,28.9,17,8,4.2,0,28.8,28.8,28.7,6,0,14.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
10/06/2019,168,46.11111111,38.27777778,30,17.22222222,15.16666667,12.77777778,40,26.5,14,7,5,0,28.8,28.7,28.6,6,0,16.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
11/06/2019,171,43.88888889,37.72222222,31.11111111,18.88888889,14.27777778,10,41,26.6,13,23,10.7,0,28.7,28.7,28.6,6,0,15.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
12/06/2019,160,38.88888889,32.61111111,23.88888889,18.88888889,18.22222222,16.11111111,69,43.5,31,29,14.8,3,28.8,28.7,28.6,6,0,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
13/06/2019,142,41.11111111,33,26.11111111,18.88888889,16.83333333,13.88888889,61,40,26,9,5.2,0,28.9,28.8,28.8,6,0,13.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
14/06/2019,156,42.77777778,35.44444444,27.77777778,17.22222222,13.44444444,10,51,28.9,15,14,6.1,0,28.8,28.8,28.7,6,0,14.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
15/06/2019,188,42.77777778,34.11111111,27.77777778,20,15.94444444,12.77777778,58,35.2,23,37,11.4,0,28.8,28.7,28.7,6,1.4,14.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
16/06/2019,154,38.88888889,33.16666667,27.77777778,20,17.38888889,16.11111111,58,40.6,26,17,8.1,3,28.8,28.8,28.7,6,0,11.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
17/06/2019,153,41.11111111,32.5,22.22222222,22.77777778,20.05555556,15,94,51.6,28,25,10,3,28.9,28.8,28.7,6,0.2,12.5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
18/06/2019,128,31.11111111,27.16666667,22.77777778,21.11111111,19.05555556,17.22222222,78,61.7,51,15,7.6,5,28.9,28.8,28.8,6,4.5,9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
19/06/2019,169,37.77777778,31.44444444,25,22.77777778,20.72222222,17.77777778,78,54.4,34,12,5,0,28.8,28.8,28.7,6,0,11.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
21/06/2019,188,37.22222222,31.33333333,25,21.11111111,19.38888889,17.77777778,69,50.8,35,12,5.5,0,28.9,28.9,28.8,6,0,11.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
22/06/2019,159,41.11111111,34.72222222,27.77777778,22.22222222,19.11111111,16.11111111,66,42.2,24,12,6.2,0,29,28.8,28.7,6,0,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
23/06/2019,160,40,32.5,28.88888889,21.11111111,19.22222222,17.22222222,58,46.1,29,37,8.6,0,28.9,28.8,28.8,6,0,11.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
24/06/2019,163,28.88888889,26.88888889,22.77777778,23.88888889,21,17.77777778,94,71.6,51,16,5.8,0,29,28.9,28.8,6,0.7,3.7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
25/06/2019,176,36.11111111,30.88888889,23.88888889,25,23.33333333,21.11111111,89,65.3,50,7,1.2,0,28.9,28.9,28.8,6,0,11.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
26/06/2019,166,41.11111111,34.16666667,27.77777778,23.88888889,22.27777778,18.88888889,79,52,31,46,6.9,0,28.9,28.8,28.7,6,0,13.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
28/06/2019,186,41.11111111,35.16666667,28.88888889,18.88888889,18,16.11111111,48,36.8,28,29,5.6,0,28.8,28.7,28.6,6,0,13.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
30/06/2019,149,43.88888889,35.88888889,28.88888889,17.77777778,16.66666667,13.88888889,45,32.7,19,18,7.1,0,28.8,28.7,28.6,6,0.1,11.4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
02/07/2019,156,40,35,27.77777778,21.11111111,20.05555556,18.88888889,66,42.4,29,12,7.2,3,28.8,28.8,28.7,7,0,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
03/07/2019,158,41.11111111,35.5,30,22.77777778,20.55555556,17.22222222,58,42.4,30,12,6.4,3,28.8,28.7,28.7,7,0,10.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
04/07/2019,154,40,32.22222222,23.88888889,27.22222222,21.77777778,17.77777778,89,55.9,35,40,10.4,3,28.8,28.7,28.7,7,0,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
05/07/2019,124,37.22222222,29.77777778,23.88888889,25,21.94444444,18.88888889,83,64,50,17,8.2,5,28.8,28.7,28.6,7,0.3,10.4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
06/07/2019,141,32.22222222,28.94444444,22.77777778,25,21.66666667,18.88888889,100,66.3,49,77,14.4,7,28.7,28.6,28.6,7,4,7.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
07/07/2019,149,35,30.94444444,27.77777778,25,23.44444444,20,84,65.3,46,12,8.5,5,28.7,28.7,28.6,7,6.5,10.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
08/07/2019,155,37.77777778,33.05555556,27.77777778,27.22222222,23.88888889,21.11111111,75,58.8,44,14,8.9,0,28.7,28.6,28.6,7,0,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
10/07/2019,153,36.11111111,31.33333333,27.77777778,26.11111111,23.77777778,22.22222222,74,64.2,49,17,11,7,28.7,28.6,28.6,7,5.4,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
11/07/2019,139,33.88888889,30.27777778,23.88888889,27.22222222,24.44444444,22.22222222,94,71.6,59,40,11,6,28.7,28.6,28.6,7,7.3,9.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
12/07/2019,171,33.88888889,31,27.77777778,25,22.88888889,21.11111111,84,62.4,52,17,9.7,6,28.8,28.7,28.6,7,3.9,10.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
13/07/2019,139,33.88888889,29.27777778,22.22222222,22.77777778,21.83333333,20,94,64.6,49,35,11.4,6,28.8,28.7,28.6,7,4.2,8.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
14/07/2019,89,28.88888889,26.72222222,22.22222222,26.11111111,22.77777778,21.11111111,100,79.9,66,23,13,3,28.8,28.7,28.7,7,10.3,7.4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
15/07/2019,137,30,26.88888889,22.77777778,23.88888889,22.5,20,100,77.1,66,18,12,9,28.7,28.7,28.6,7,3.5,8.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16/07/2019,119,27.77777778,24.77777778,22.77777778,26.11111111,23.05555556,22.22222222,100,90.9,79,18,12.7,9,28.8,28.8,28.7,7,10.6,7.4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
17/07/2019,103,31.11111111,27.5,22.77777778,23.88888889,22.77777778,22.22222222,94,76.2,58,15,11.6,7,28.9,28.8,28.8,7,0.8,8.1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
18/07/2019,119,33.88888889,29.83333333,25,25,22.77777778,20,89,66.7,52,15,11.3,7,28.9,28.8,28.8,7,1.2,7.7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
19/07/2019,133,32.77777778,29.83333333,27.22222222,26.11111111,24.27777778,22.77777778,84,72.6,59,21,12.6,7,28.9,28.8,28.8,7,15.8,7.3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
20/07/2019,136,35,29.27777778,26.11111111,25,22.88888889,20,83,68.8,53,12,5.9,0,28.9,28.9,28.8,7,0.1,8.2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
21/07/2019,135,36.11111111,31,26.11111111,27.22222222,24.05555556,21.11111111,84,67.2,50,12,7.5,3,28.9,28.9,28.8,7,3,7.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
22/07/2019,156,37.22222222,32.88888889,28.88888889,27.22222222,25.44444444,22.77777778,84,66.1,50,18,7.1,0,28.9,28.8,28.8,7,3.6,6.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
23/07/2019,164,37.22222222,32.61111111,28.88888889,26.11111111,24.55555556,22.77777778,79,63,50,12,5.4,0,28.8,28.8,28.7,7,0.7,8.2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
25/07/2019,105,30,26.94444444,22.77777778,26.11111111,24,22.77777778,100,84.8,74,23,10.8,5,28.8,28.8,28.7,7,17.4,5.1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
26/07/2019,103,31.11111111,28.22222222,26.11111111,25,23.72222222,22.77777778,89,77.4,66,14,9.1,1,28.8,28.7,28.7,7,31.6,3.8,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
27/07/2019,108,31.11111111,28.11111111,26.11111111,26.11111111,23.33333333,21.11111111,89,75.8,66,29,11.5,7,28.8,28.8,28.7,7,2.8,5.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
28/07/2019,123,28.88888889,26.66666667,25,26.11111111,23.11111111,21.11111111,94,80.6,66,18,10.9,7,28.9,28.8,28.8,7,16.5,5.2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
29/07/2019,123,35,30.44444444,26.11111111,26.11111111,23.83333333,22.77777778,84,69.2,56,20,11.8,3,28.9,28.9,28.8,7,0.7,7.2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
31/07/2019,106,32.22222222,29.11111111,26.11111111,26.11111111,24.77777778,22.77777778,89,77.8,66,18,12.7,7,28.8,28.8,28.8,7,7.7,5.8,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
01/08/2019,116,32.77777778,26.72222222,22.77777778,25,23.33333333,22.22222222,100,82.7,63,25,8.5,3,28.8,28.8,28.7,8,2.8,7.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
02/08/2019,78,31.11111111,27.33333333,23.88888889,23.88888889,22.83333333,21.11111111,89,76.8,62,12,7.7,5,28.8,28.7,28.7,8,21.1,4.2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
03/08/2019,101,32.77777778,29.55555556,26.11111111,26.11111111,24,22.77777778,84,73.2,59,12,7.7,3,28.8,28.8,28.7,8,1.1,7.8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
05/08/2019,105,37.77777778,32.88888889,28.88888889,26.11111111,25.38888889,23.88888889,84,65.4,50,12,6.9,3,28.7,28.7,28.6,8,0.2,7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
06/08/2019,141,33.88888889,30.72222222,27.22222222,25,24.05555556,22.77777778,79,68.2,59,17,8.3,3,28.7,28.6,28.6,8,5.3,6.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
09/08/2019,154,31.11111111,29.22222222,26.11111111,26.11111111,24.83333333,23.88888889,89,77.1,70,18,8.1,0,28.8,28.8,28.7,8,6.6,5.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
10/08/2019,143,32.77777778,29.83333333,26.11111111,26.11111111,24.55555556,22.77777778,89,74.2,62,14,7.6,5,28.8,28.8,28.8,8,4.9,5.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
11/08/2019,104,35,31.44444444,27.77777778,26.11111111,24.38888889,22.22222222,84,66.7,56,12,6,3,28.9,28.8,28.8,8,2.1,5.8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
12/08/2019,112,37.22222222,32.38888889,26.11111111,27.22222222,24.5,22.22222222,84,64.5,47,17,6.8,0,28.8,28.8,28.7,8,3.5,5.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
13/08/2019,104,36.11111111,31.27777778,27.77777778,27.77777778,25.83333333,23.88888889,84,73,56,15,8.3,0,28.9,28.8,28.8,8,11.1,7.1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
14/08/2019,123,32.77777778,30.66666667,27.77777778,26.11111111,25.16666667,23.88888889,89,72.6,62,14,7.8,3,28.9,28.9,28.8,8,5.2,5.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15/08/2019,113,36.11111111,31.61111111,28.88888889,27.22222222,25.72222222,23.88888889,84,71.1,53,12,5.8,0,28.9,28.9,28.8,8,1.1,7.4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
17/08/2019,85,28.88888889,26.11111111,23.88888889,25,22.83333333,21.11111111,94,82,74,21,8.3,3,28.9,28.8,28.8,8,5.7,3.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
18/08/2019,119,35,28,22.77777778,23.88888889,22.16666667,20,94,71.4,47,12,4.2,0,28.9,28.9,28.8,8,0.2,9.4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
19/08/2019,98,36.11111111,29.72222222,25,22.77777778,22.22222222,20,83,65.4,47,14,7.1,0,29,29,28.9,8,0.7,7.8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
21/08/2019,142,37.77777778,32.22222222,27.77777778,26.11111111,23.33333333,22.22222222,84,60.9,39,9,5.4,3,28.9,28.9,28.8,8,0.1,10.2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
22/08/2019,129,36.11111111,31.61111111,27.22222222,25,23.22222222,22.22222222,79,62.3,50,13,4.6,0,28.9,28.9,28.8,8,0,8.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
23/08/2019,131,36.11111111,31,27.22222222,27.22222222,23.5,22.22222222,79,65.7,49,51,7,0,28.9,28.9,28.8,8,0,8.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
